0 2708.24
1 2534.81
2 2351.4
3 2256.82
4 2164.22
5 2048.49
6 1930.51
7 1810.12
8 1741.85
9 1686.28
10 1605.57
11 1563.92
12 1524.86
13 1491.5
14 1453.02
15 1402.29
16 1329.34
17 1233.82
18 1187.61
19 1153.97
20 1107.9
21 1098.34
22 1091.08
23 1086.27
24 1073.44
25 1060.06
26 1055.05
27 1053.79
28 1050.1
29 1041
30 1035.43
31 1028.94
32 1021.45
33 1016.72
34 1015.08
35 1012.77
36 1009.08
37 1007.73
38 1007.73
39 1007.5
40 1006.45
41 1004.59
42 1003.1
43 1001.06
44 998.633
45 997.966
46 997.92
47 997.673
48 997.328
49 997.19
50 997.185
51 997.151
52 996.937
53 996.57
54 996.085
55 993.589
56 991.647
57 990.311
58 985.596
59 983.797
60 983.797
61 983.797
62 983.797
63 983.797
64 983.734
65 983.608
66 983.348
67 981.299
68 979.239
69 976.422
70 970.789
71 966.563
72 966.563
73 966.563
74 966.563
75 966.563
76 966.563
77 966.563
78 966.563
79 966.563
80 966.563
81 966.563
82 966.563
83 966.563
84 966.563
85 966.563
86 966.563
87 966.563
88 966.53
89 966.496
90 966.329
91 965.591
92 964.989
93 964.89
94 964.89
95 964.89
96 964.89
97 964.89
98 964.89
99 964.89
